FM_PORT_CD,TO_PORT_CD,DSTN,ECA_DSTN
CNSHG,CNTAO,386,0
CNSHG,CNXMN,539,0
CNSHG,CNYTN,790,0
CNSHG,CNZOS,99,0
CNSHG,HKHKG,792,0
CNSHG,JPNGO,858,0
CNSHG,JPSMZ,902,0
CNSHG,JPTYO,984,0
CNSHG,JPUKB,737,0
CNSHG,KRKAN,371,0
CNSHG,KRPUS,440,0
CNSHG,SGSIN,2132,0
CNSHG,THLCH,2222,0
CNSHG,TWKHH,591,0
CNSHK,CNNBO,728,0
CNSHK,CNNGB,728,0
CNSHK,CNSHA,803,0
CNSHK,CNTAO,1159,0
CNSHK,CNYTN,60,0
CNSHK,HKHKG,1,0
CNSHK,INNSA,2840,0
CNSHK,KRPUS,1153,0
CNSHK,MYPKG,1613,0
CNSHK,SGSIN,1411,0
CNSHK,THLCH,1504,0
CNSHK,TWKHH,358,0
CNTAO,CAPRR,4699,322
CNTAO,CNNBO,442,0
CNTAO,CNNGB,442,0
CNTAO,CNPLI,291,0
CNTAO,CNSHA,389,0
CNTAO,CNSHG,386,0
CNTAO,CNTXG,401,0
CNTAO,CNXMN,889,0
CNTAO,CNYTN,1142,0
CNTAO,CNZOS,453,0
CNTAO,HKHKG,1147,0
CNTAO,INNSA,5646,0
CNTAO,JPNGO,1020,0
CNTAO,JPTYO,1146,0
CNTAO,JPUKB,776,0
CNTAO,KRKAN,447,0
CNTAO,KRPUS,488,0
CNTAO,THLCH,2578,0
CNTAO,TWKHH,922,0
CNTXG,CNDLC,175,0
CNTXG,CNTAO,401,0
CNTXG,KRPUS,698,0
CNTXG,SGSIN,2764,0
CNXMN,CAVAN,5495,458
CNXMN,CNCAN,370,0
CNXMN,CNDLC,1002,0
CNXMN,CNNBO,483,0
CNXMN,CNNGB,483,0
CNXMN,CNSHA,533,0
CNXMN,CNSHK,308,0
CNXMN,CNTAO,894,0
CNXMN,CNTXG,1147,0
CNXMN,CNYTN,289,0
CNXMN,HKHKG,291,0
CNXMN,JPNGO,1204,0
CNXMN,JPUKB,1102,0
CNXMN,SGSIN,1637,0
CNXMN,THLCH,1728,0
CNXMN,TWKHH,176,0
CNXMN,USLAX,6140,373
CNXMN,USLGB,6142,373
CNXMN,USTIW,5501,458
CNXMN,VNCMP,1095,0
CNYTN,CAVAN,5737,457
CNYTN,CNCAN,122,0
CNYTN,CNFOC,470,0
CNYTN,CNNBO,734,0
CNYTN,CNNGB,734,0
CNYTN,CNSHA,784,0
CNYTN,CNSHG,790,0
CNYTN,CNSHK,60,0
CNYTN,CNTAO,1142,0
CNYTN,CNTXG,1421,0
CNYTN,CNXMN,289,0
CNYTN,CNZOS,714,0
CNYTN,EGSCA,6526,0
CNYTN,EGSUZ,6526,0
CNYTN,ESALG,11994,0
CNYTN,HKHKG,43,0
CNYTN,JPSMZ,1519,0
CNYTN,JPUKB,1350,0
CNYTN,KRPUS,1135,0
