BSE_YM,VSL_SVCE_LANE_CD,BNK_OIL_TP_CD,BNK_PORT_CD,BNK_RTO
202502,FP2,LSFO,NLRTM,60
202502,FP2,LSFO,SGSIN,40
202502,FP2,MGO,NLRTM,70
202502,FP2,MGO,SGSIN,30
202502,MD1,LSFO,ESALG,30
202502,MD1,LSFO,SGSIN,70
202502,MD1,MGO,SGSIN,100
202502,MD2,LSFO,ITGOA,30
202502,MD2,LSFO,SGSIN,70
202502,MD2,MGO,SGSIN,100
202502,MD3,LSFO,SGSIN,70
202502,MD3,LSFO,TRIST,30
202502,MD3,MGO,SGSIN,100
202502,MD4,LSFO,SGSIN,100
202502,MD4,MGO,SGSIN,100
202502,MD5,LSFO,SGSIN,100
202502,MD5,MGO,SGSIN,100
202502,MS2,LSFO,SGSIN,100
202502,MS2,MGO,SGSIN,100
202502,PN1,LSFO,CNNBO,50
202502,PN1,LSFO,USTIW,50
202502,PN1,MGO,CNNBO,100
202502,PN2,LSFO,SGSIN,60
202502,PN2,LSFO,USTIW,40
202502,PN2,MGO,SGSIN,100
202502,PN3,LSFO,HKHKG,60
202502,PN3,LSFO,USTIW,40
202502,PN3,MGO,KRPUS,100
202502,PN4,LSFO,KRPUS,60
202502,PN4,LSFO,USTIW,40
202502,PN4,MGO,KRPUS,100
202502,PS3,LSFO,SGSIN,70
202502,PS3,LSFO,USLAX,30
202502,PS3,MGO,SGSIN,100
202502,PS4,LSFO,CNYTN,70
202502,PS4,LSFO,USLAX,30
202502,PS4,MGO,USLAX,100
202502,PS5,LSFO,CNSHG,70
202502,PS5,LSFO,USLAX,30
202502,PS5,MGO,CNSHG,100
202502,PS6,LSFO,CNYSA,70
202502,PS6,LSFO,USLAX,30
202502,PS6,MGO,CNYSA,100
202502,PS7,LSFO,SGSIN,70
202502,PS7,LSFO,USLAX,30
202502,PS7,MGO,SGSIN,100
202502,PS8,LSFO,KRPUS,70
202502,PS8,LSFO,USLAX,30
202502,PS8,MGO,KRPUS,100
202503,AG1,LSFO,SGSIN,100
202503,AG1,MGO,SGSIN,100
202503,AG2,LSFO,SGSIN,100
202503,AG2,MGO,SGSIN,100
202503,AG3,LSFO,SGSIN,100
202503,AG3,MGO,SGSIN,100
202503,AL1,LSFO,NLRTM,100
202503,AL1,MGO,NLRTM,100
202503,AL2,LSFO,NLRTM,100
202503,AL2,MGO,NLRTM,100
202503,AL3,LSFO,BEANR,100
202503,AL3,MGO,BEANR,100
202503,AL4,LSFO,BEANR,100
202503,AL4,MGO,BEANR,100
202503,AL5,LSFO,NLRTM,70
202503,AL5,LSFO,USLAX,30
202503,AL5,MGO,NLRTM,80
202503,AL5,MGO,USLAX,20
202503,AL6,LSFO,ITGOA,50
202503,AL6,LSFO,USNYC,50
202503,AL6,MGO,USNYC,100
202503,AR1,LSFO,SGSIN,100
202503,AR1,MGO,SGSIN,100
202503,EC1,LSFO,KRPUS,70
202503,EC1,LSFO,USNYC,30
202503,EC1,MGO,KRPUS,100
202503,EC2,LSFO,KRPUS,60
202503,EC2,LSFO,USORF,40
202503,EC2,MGO,KRPUS,100
202503,EC3,LSFO,CNSHG,60
202503,EC3,LSFO,PABLB,40
202503,EC3,MGO,KRPUS,100
202503,EC4,LSFO,SGSIN,50
202503,EC4,LSFO,USNYC,50
202503,EC4,MGO,SGSIN,100
202503,EC5,LSFO,SGSIN,50
202503,EC5,LSFO,USNYC,50
202503,EC5,MGO,SGSIN,70
202503,EC5,MGO,USNYC,30
202503,EC6,LSFO,HKHKG,100
202503,EC6,MGO,KRPUS,100
202503,FE2,LSFO,NLRTM,70
202503,FE2,LSFO,SGSIN,30
202503,FE2,MGO,NLRTM,70
202503,FE2,MGO,SGSIN,30
202503,FE3,LSFO,NLRTM,70
202503,FE3,LSFO,SGSIN,30
202503,FE3,MGO,NLRTM,70
202503,FE3,MGO,SGSIN,30
202503,FE4,LSFO,KRPUS,30
202503,FE4,LSFO,NLRTM,70
202503,FE4,MGO,KRPUS,30
202503,FE4,MGO,NLRTM,70
202503,FE5,LSFO,NLRTM,70
202503,FE5,LSFO,SGSIN,30
202503,FE5,MGO,NLRTM,70
202503,FE5,MGO,SGSIN,30
202503,FP1,LSFO,NLRTM,60
202503,FP1,LSFO,SGSIN,40
202503,FP1,MGO,NLRTM,70
202503,FP1,MGO,SGSIN,30
202503,FP2,LSFO,NLRTM,60
202503,FP2,LSFO,SGSIN,40
202503,FP2,MGO,NLRTM,70
202503,FP2,MGO,SGSIN,30
202503,MD1,LSFO,ESALG,30
202503,MD1,LSFO,SGSIN,70
202503,MD1,MGO,SGSIN,100
202503,MD2,LSFO,ITGOA,30
202503,MD2,LSFO,SGSIN,70
202503,MD2,MGO,SGSIN,100
202503,MD3,LSFO,SGSIN,70
202503,MD3,LSFO,TRIST,30
202503,MD3,MGO,SGSIN,100
202503,MD4,LSFO,SGSIN,100
202503,MD4,MGO,SGSIN,100
202503,MD5,LSFO,SGSIN,100
202503,MD5,MGO,SGSIN,100
202503,MS2,LSFO,SGSIN,100
202503,MS2,MGO,SGSIN,100
202503,PN1,LSFO,CNNBO,50
202503,PN1,LSFO,USTIW,50
202503,PN1,MGO,CNNBO,100
202503,PN2,LSFO,SGSIN,60
202503,PN2,LSFO,USTIW,40
202503,PN2,MGO,SGSIN,100
202503,PN3,LSFO,HKHKG,60
202503,PN3,LSFO,USTIW,40
202503,PN3,MGO,KRPUS,100
202503,PN4,LSFO,KRPUS,60
202503,PN4,LSFO,USTIW,40
202503,PN4,MGO,KRPUS,100
202503,PS3,LSFO,SGSIN,70
202503,PS3,LSFO,USLAX,30
202503,PS3,MGO,SGSIN,100
202503,PS4,LSFO,CNYTN,70
202503,PS4,LSFO,USLAX,30
202503,PS4,MGO,USLAX,100
202503,PS5,LSFO,CNSHG,70
202503,PS5,LSFO,USLAX,30
202503,PS5,MGO,CNSHG,100
202503,PS6,LSFO,CNYSA,70
202503,PS6,LSFO,USLAX,30
202503,PS6,MGO,CNYSA,100
202503,PS7,LSFO,SGSIN,70
202503,PS7,LSFO,USLAX,30
202503,PS7,MGO,SGSIN,100
202503,PS8,LSFO,KRPUS,70
202503,PS8,LSFO,USLAX,30
202503,PS8,MGO,KRPUS,100
202504,AG1,LSFO,SGSIN,100
202504,AG1,MGO,SGSIN,100
202504,AG2,LSFO,SGSIN,100
202504,AG2,MGO,SGSIN,100
202504,AG3,LSFO,SGSIN,100
202504,AG3,MGO,SGSIN,100
202504,AL1,LSFO,NLRTM,100
202504,AL1,MGO,NLRTM,100
202504,AL2,LSFO,NLRTM,100
202504,AL2,MGO,NLRTM,100
202504,AL3,LSFO,BEANR,100
202504,AL3,MGO,BEANR,100
202504,AL4,LSFO,BEANR,100
202504,AL4,MGO,BEANR,100
202504,AL5,LSFO,NLRTM,70
202504,AL5,LSFO,USLAX,30
202504,AL5,MGO,NLRTM,80
202504,AL5,MGO,USLAX,20
202504,AL6,LSFO,ITGOA,50
202504,AL6,LSFO,USNYC,50
202504,AL6,MGO,USNYC,100
202504,AR1,LSFO,SGSIN,100
202504,AR1,MGO,SGSIN,100
202504,EC1,LSFO,KRPUS,70
202504,EC1,LSFO,USNYC,30
202504,EC1,MGO,KRPUS,100
202504,EC2,LSFO,KRPUS,60
202504,EC2,LSFO,USORF,40
202504,EC2,MGO,KRPUS,100
202504,EC3,LSFO,CNSHG,60
202504,EC3,LSFO,PABLB,40
202504,EC3,MGO,KRPUS,100
202504,EC4,LSFO,SGSIN,50
202504,EC4,LSFO,USNYC,50
202504,EC4,MGO,SGSIN,100
202504,EC5,LSFO,SGSIN,50
202504,EC5,LSFO,USNYC,50
202504,EC5,MGO,SGSIN,70
202504,EC5,MGO,USNYC,30
202504,EC6,LSFO,HKHKG,100
202504,EC6,MGO,KRPUS,100
202504,FE2,LSFO,NLRTM,70
202504,FE2,LSFO,SGSIN,30
202504,FE2,MGO,NLRTM,70
202504,FE2,MGO,SGSIN,30
202504,FE3,LSFO,NLRTM,70
202504,FE3,LSFO,SGSIN,30
202504,FE3,MGO,NLRTM,70
202504,FE3,MGO,SGSIN,30
202504,FE4,LSFO,KRPUS,30
202504,FE4,LSFO,NLRTM,70
202504,FE4,MGO,KRPUS,30
202504,FE4,MGO,NLRTM,70
202504,FE5,LSFO,NLRTM,70
202504,FE5,LSFO,SGSIN,30
202504,FE5,MGO,NLRTM,70
202504,FE5,MGO,SGSIN,30
202504,FP1,LSFO,NLRTM,60
202504,FP1,LSFO,SGSIN,40
202504,FP1,MGO,NLRTM,70
202504,FP1,MGO,SGSIN,30
202504,FP2,LSFO,NLRTM,60
202504,FP2,LSFO,SGSIN,40
202504,FP2,MGO,NLRTM,70
202504,FP2,MGO,SGSIN,30
202504,MD1,LSFO,ESALG,30
202504,MD1,LSFO,SGSIN,70
202504,MD1,MGO,SGSIN,100
202504,MD2,LSFO,ITGOA,30
202504,MD2,LSFO,SGSIN,70
202504,MD2,MGO,SGSIN,100
202504,MD3,LSFO,SGSIN,70
202504,MD3,LSFO,TRIST,30
202504,MD3,MGO,SGSIN,100
202504,MD4,LSFO,SGSIN,100
202504,MD4,MGO,SGSIN,100
202504,MD5,LSFO,SGSIN,100
202504,MD5,MGO,SGSIN,100
202504,MS2,LSFO,SGSIN,100
202504,MS2,MGO,SGSIN,100
202504,PN1,LSFO,CNNBO,50
202504,PN1,LSFO,USTIW,50
202504,PN1,MGO,CNNBO,100
202504,PN2,LSFO,SGSIN,60
202504,PN2,LSFO,USTIW,40
202504,PN2,MGO,SGSIN,100
202504,PN3,LSFO,HKHKG,60
202504,PN3,LSFO,USTIW,40
202504,PN3,MGO,KRPUS,100
202504,PN4,LSFO,KRPUS,60
202504,PN4,LSFO,USTIW,40
202504,PN4,MGO,KRPUS,100
202504,PS3,LSFO,SGSIN,70
202504,PS3,LSFO,USLAX,30
202504,PS3,MGO,SGSIN,100
202504,PS4,LSFO,CNYTN,70
202504,PS4,LSFO,USLAX,30
202504,PS4,MGO,USLAX,100
202504,PS5,LSFO,CNSHG,70
202504,PS5,LSFO,USLAX,30
202504,PS5,MGO,CNSHG,100
202504,PS6,LSFO,CNYSA,70
202504,PS6,LSFO,USLAX,30
202504,PS6,MGO,CNYSA,100
202504,PS7,LSFO,SGSIN,70
202504,PS7,LSFO,USLAX,30
202504,PS7,MGO,SGSIN,100
202504,PS8,LSFO,KRPUS,70
202504,PS8,LSFO,USLAX,30
202504,PS8,MGO,KRPUS,100
202505,AG1,LSFO,SGSIN,100
202505,AG1,MGO,SGSIN,100
202505,AG2,LSFO,SGSIN,100
202505,AG2,MGO,SGSIN,100
202505,AG3,LSFO,SGSIN,100
202505,AG3,MGO,SGSIN,100
202505,AL1,LSFO,NLRTM,100
202505,AL1,MGO,NLRTM,100
202505,AL2,LSFO,NLRTM,100
202505,AL2,MGO,NLRTM,100
202505,AL3,LSFO,BEANR,100
202505,AL3,MGO,BEANR,100
202505,AL4,LSFO,BEANR,100
202505,AL4,MGO,BEANR,100
202505,AL5,LSFO,NLRTM,70
202505,AL5,LSFO,USLAX,30
202505,AL5,MGO,NLRTM,80
202505,AL5,MGO,USLAX,20
202505,AL6,LSFO,ITGOA,50
202505,AL6,LSFO,USNYC,50
202505,AL6,MGO,USNYC,100
202505,AR1,LSFO,SGSIN,100
202505,AR1,MGO,SGSIN,100
202505,EC1,LSFO,KRPUS,70
202505,EC1,LSFO,USNYC,30
202505,EC1,MGO,KRPUS,100
202505,EC2,LSFO,KRPUS,60
202505,EC2,LSFO,USORF,40
202505,EC2,MGO,KRPUS,100
202505,EC3,LSFO,CNSHG,60
202505,EC3,LSFO,PABLB,40
202505,EC3,MGO,KRPUS,100
202505,EC4,LSFO,SGSIN,50
202505,EC4,LSFO,USNYC,50
202505,EC4,MGO,SGSIN,100
202505,EC5,LSFO,SGSIN,50
202505,EC5,LSFO,USNYC,50
202505,EC5,MGO,SGSIN,70
202505,EC5,MGO,USNYC,30
202505,EC6,LSFO,HKHKG,100
202505,EC6,MGO,KRPUS,100
202505,FE2,LSFO,NLRTM,70
202505,FE2,LSFO,SGSIN,30
202505,FE2,MGO,NLRTM,70
202505,FE2,MGO,SGSIN,30
202505,FE3,LSFO,NLRTM,70
202505,FE3,LSFO,SGSIN,30
202505,FE3,MGO,NLRTM,70
202505,FE3,MGO,SGSIN,30
202505,FE4,LSFO,KRPUS,30
202505,FE4,LSFO,NLRTM,70
202505,FE4,MGO,KRPUS,30
202505,FE4,MGO,NLRTM,70
202505,FE5,LSFO,NLRTM,70
202505,FE5,LSFO,SGSIN,30
202505,FE5,MGO,NLRTM,70
202505,FE5,MGO,SGSIN,30
202505,FP1,LSFO,NLRTM,60
202505,FP1,LSFO,SGSIN,40
202505,FP1,MGO,NLRTM,70
202505,FP1,MGO,SGSIN,30
202505,FP2,LSFO,NLRTM,60
202505,FP2,LSFO,SGSIN,40
202505,FP2,MGO,NLRTM,70
202505,FP2,MGO,SGSIN,30
202505,MD1,LSFO,ESALG,30
202505,MD1,LSFO,SGSIN,70
202505,MD1,MGO,SGSIN,100
202505,MD2,LSFO,ITGOA,30
202505,MD2,LSFO,SGSIN,70
202505,MD2,MGO,SGSIN,100
202505,MD3,LSFO,SGSIN,70
202505,MD3,LSFO,TRIST,30
202505,MD3,MGO,SGSIN,100
202505,MD4,LSFO,SGSIN,100
202505,MD4,MGO,SGSIN,100
202505,MD5,LSFO,SGSIN,100
202505,MD5,MGO,SGSIN,100
202505,MS2,LSFO,SGSIN,100
202505,MS2,MGO,SGSIN,100
202505,PN1,LSFO,CNNBO,50
202505,PN1,LSFO,USTIW,50
202505,PN1,MGO,CNNBO,100
202505,PN2,LSFO,SGSIN,60
202505,PN2,LSFO,USTIW,40
202505,PN2,MGO,SGSIN,100
202505,PN3,LSFO,HKHKG,60
202505,PN3,LSFO,USTIW,40
202505,PN3,MGO,KRPUS,100
202505,PN4,LSFO,KRPUS,60
202505,PN4,LSFO,USTIW,40
202505,PN4,MGO,KRPUS,100
202505,PS3,LSFO,SGSIN,70
202505,PS3,LSFO,USLAX,30
202505,PS3,MGO,SGSIN,100
202505,PS4,LSFO,CNYTN,70
202505,PS4,LSFO,USLAX,30
202505,PS4,MGO,USLAX,100
202505,PS5,LSFO,CNSHG,70
202505,PS5,LSFO,USLAX,30
202505,PS5,MGO,CNSHG,100
202505,PS6,LSFO,CNYSA,70
202505,PS6,LSFO,USLAX,30
202505,PS6,MGO,CNYSA,100
202505,PS7,LSFO,SGSIN,70
202505,PS7,LSFO,USLAX,30
202505,PS7,MGO,SGSIN,100
202505,PS8,LSFO,KRPUS,70
202505,PS8,LSFO,USLAX,30
202505,PS8,MGO,KRPUS,100
202506,AG1,LSFO,SGSIN,100
202506,AG1,MGO,SGSIN,100
202506,AG2,LSFO,SGSIN,100
202506,AG2,MGO,SGSIN,100
202506,AG3,LSFO,SGSIN,100
202506,AG3,MGO,SGSIN,100
202506,AL1,LSFO,NLRTM,100
202506,AL1,MGO,NLRTM,100
202506,AL2,LSFO,NLRTM,100
202506,AL2,MGO,NLRTM,100
202506,AL3,LSFO,BEANR,100
202506,AL3,MGO,BEANR,100
202506,AL4,LSFO,BEANR,100
202506,AL4,MGO,BEANR,100
202506,AL5,LSFO,NLRTM,70
202506,AL5,LSFO,USLAX,30
202506,AL5,MGO,NLRTM,80
202506,AL5,MGO,USLAX,20
202506,AL6,LSFO,ITGOA,50
202506,AL6,LSFO,USNYC,50
202506,AL6,MGO,USNYC,100
202506,AR1,LSFO,SGSIN,100
202506,AR1,MGO,SGSIN,100
202506,EC1,LSFO,KRPUS,70
202506,EC1,LSFO,USNYC,30
202506,EC1,MGO,KRPUS,100
202506,EC2,LSFO,KRPUS,60
202506,EC2,LSFO,USORF,40
202506,EC2,MGO,KRPUS,100
202506,EC3,LSFO,CNSHG,60
202506,EC3,LSFO,PABLB,40
202506,EC3,MGO,KRPUS,100
202506,EC4,LSFO,SGSIN,50
202506,EC4,LSFO,USNYC,50
202506,EC4,MGO,SGSIN,100
202506,EC5,LSFO,SGSIN,50
202506,EC5,LSFO,USNYC,50
202506,EC5,MGO,SGSIN,70
202506,EC5,MGO,USNYC,30
202506,EC6,LSFO,HKHKG,100
202506,EC6,MGO,KRPUS,100
202506,FE2,LSFO,NLRTM,70
202506,FE2,LSFO,SGSIN,30
202506,FE2,MGO,NLRTM,70
202506,FE2,MGO,SGSIN,30
202506,FE3,LSFO,NLRTM,70
202506,FE3,LSFO,SGSIN,30
202506,FE3,MGO,NLRTM,70
202506,FE3,MGO,SGSIN,30
202506,FE4,LSFO,KRPUS,30
202506,FE4,LSFO,NLRTM,70
202506,FE4,MGO,KRPUS,30
202506,FE4,MGO,NLRTM,70
202506,FE5,LSFO,NLRTM,70
202506,FE5,LSFO,SGSIN,30
202506,FE5,MGO,NLRTM,70
202506,FE5,MGO,SGSIN,30
202506,FP1,LSFO,NLRTM,60
202506,FP1,LSFO,SGSIN,40
202506,FP1,MGO,NLRTM,70
202506,FP1,MGO,SGSIN,30
202506,FP2,LSFO,NLRTM,60
202506,FP2,LSFO,SGSIN,40
202506,FP2,MGO,NLRTM,70
202506,FP2,MGO,SGSIN,30
202506,MD1,LSFO,ESALG,30
202506,MD1,LSFO,SGSIN,70
202506,MD1,MGO,SGSIN,100
202506,MD2,LSFO,ITGOA,30
202506,MD2,LSFO,SGSIN,70
202506,MD2,MGO,SGSIN,100
202506,MD3,LSFO,SGSIN,70
202506,MD3,LSFO,TRIST,30
202506,MD3,MGO,SGSIN,100
202506,MD4,LSFO,SGSIN,100
202506,MD4,MGO,SGSIN,100
202506,MD5,LSFO,SGSIN,100
202506,MD5,MGO,SGSIN,100
202506,MS2,LSFO,SGSIN,100
202506,MS2,MGO,SGSIN,100
202506,PN1,LSFO,CNNBO,50
202506,PN1,LSFO,USTIW,50
202506,PN1,MGO,CNNBO,100
202506,PN2,LSFO,SGSIN,60
202506,PN2,LSFO,USTIW,40
202506,PN2,MGO,SGSIN,100
202506,PN3,LSFO,HKHKG,60
202506,PN3,LSFO,USTIW,40
202506,PN3,MGO,KRPUS,100
202506,PN4,LSFO,KRPUS,60
202506,PN4,LSFO,USTIW,40
202506,PN4,MGO,KRPUS,100
202506,PS3,LSFO,SGSIN,70
202506,PS3,LSFO,USLAX,30
202506,PS3,MGO,SGSIN,100
202506,PS4,LSFO,CNYTN,70
202506,PS4,LSFO,USLAX,30
202506,PS4,MGO,USLAX,100
202506,PS5,LSFO,CNSHG,70
202506,PS5,LSFO,USLAX,30
202506,PS5,MGO,CNSHG,100
202506,PS6,LSFO,CNYSA,70
202506,PS6,LSFO,USLAX,30
202506,PS6,MGO,CNYSA,100
202506,PS7,LSFO,SGSIN,70
202506,PS7,LSFO,USLAX,30
202506,PS7,MGO,SGSIN,100
202506,PS8,LSFO,KRPUS,70
202506,PS8,LSFO,USLAX,30
202506,PS8,MGO,KRPUS,100
202507,AG1,LSFO,SGSIN,100
202507,AG1,MGO,SGSIN,100
202507,AG2,LSFO,SGSIN,100
202507,AG2,MGO,SGSIN,100
202507,AG3,LSFO,SGSIN,100
202507,AG3,MGO,SGSIN,100
202507,AL1,LSFO,NLRTM,100
202507,AL1,MGO,NLRTM,100
202507,AL2,LSFO,NLRTM,100
202507,AL2,MGO,NLRTM,100
202507,AL3,LSFO,BEANR,100
202507,AL3,MGO,BEANR,100
202507,AL4,LSFO,BEANR,100
202507,AL4,MGO,BEANR,100
202507,AL5,LSFO,NLRTM,70
202507,AL5,LSFO,USLAX,30
202507,AL5,MGO,NLRTM,80
202507,AL5,MGO,USLAX,20
202507,AL6,LSFO,ITGOA,50
202507,AL6,LSFO,USNYC,50
202507,AL6,MGO,USNYC,100
202507,AR1,LSFO,SGSIN,100
202507,AR1,MGO,SGSIN,100
202507,EC1,LSFO,KRPUS,70
202507,EC1,LSFO,USNYC,30
202507,EC1,MGO,KRPUS,100
202507,EC2,LSFO,KRPUS,60
202507,EC2,LSFO,USORF,40
202507,EC2,MGO,KRPUS,100
202507,EC3,LSFO,CNSHG,60
202507,EC3,LSFO,PABLB,40
202507,EC3,MGO,KRPUS,100
202507,EC4,LSFO,SGSIN,50
202507,EC4,LSFO,USNYC,50
202507,EC4,MGO,SGSIN,100
202507,EC5,LSFO,SGSIN,50
202507,EC5,LSFO,USNYC,50
202507,EC5,MGO,SGSIN,70
202507,EC5,MGO,USNYC,30
202507,EC6,LSFO,HKHKG,100
202507,EC6,MGO,KRPUS,100
202507,FE2,LSFO,NLRTM,70
