BSE_YM,BNK_OIL_TP_CD,TRDE_CD,VSL_SVCE_LANE_CD,BNK_PRCE_USD_VAL
202502,LSFO,NET,FP2,738.391
202502,LSFO,TPT,FP2,738.391
202502,MGO,NET,FP2,1064.096
202502,MGO,TPT,MS2,567.85
202502,MGO,TPT,PN1,728.9
202502,MGO,TPT,PN2,720.863
202502,MGO,TPT,PN3,752.588
202502,MGO,TPT,PN4,752.588
202502,MGO,TPT,PS3,720.863
202502,MGO,TPT,PS4,791.357
202502,MGO,TPT,PS5,679.535
202502,MGO,TPT,PS6,728.9
202502,MGO,TPT,PS7,720.863
202502,MGO,WAT,AG1,310.591
202502,MGO,WAT,AG2,720.863
202502,MGO,WAT,AG3,720.863
202503,LSFO,MET,MD1,560.865
202503,LSFO,MET,MD2,567.06
202503,LSFO,MET,MD3,577.305
202503,LSFO,NET,FE2,543.905
202503,LSFO,NET,FE3,543.905
202503,LSFO,NET,FE4,553.055
202503,LSFO,NET,FP1,546.24
202503,LSFO,NET,FP2,738.391
202503,LSFO,MET,MD4,567.85
202503,LSFO,MET,MD5,567.85
202503,LSFO,MET,MS2,567.85
202503,LSFO,TAT,AL2,536.9
202503,LSFO,TAT,AL3,536.9
202503,LSFO,TAT,AL4,536.9
202503,LSFO,TAT,AL5,565.256
202503,LSFO,TAT,AL6,577.002
202503,LSFO,TAT,AT1,542
202503,LSFO,TAT,AT2,542
202503,LSFO,TAT,AT3,542
202503,LSFO,TAT,AT4,542
202503,LSFO,TPT,EC1,584.841
202503,LSFO,TPT,EC2,596.471
202503,LSFO,TPT,EC3,540.956
202503,LSFO,TPT,EC4,600.841
202503,LSFO,TPT,EC5,565.652
202503,LSFO,TPT,EC6,574.15
202503,LSFO,TPT,FP1,546.24
202503,LSFO,TPT,FP2,738.391
202503,LSFO,TPT,MS2,567.85
202503,LSFO,TPT,PN1,600.14
202503,LSFO,TPT,PN2,593.982
202503,LSFO,TPT,PN3,602.322
202503,LSFO,TPT,PN4,612.282
202503,LSFO,TPT,PS3,581.601
202503,LSFO,TPT,PS4,591.331
202503,LSFO,TPT,PS5,980.65
202503,LSFO,TPT,PS6,578.416
202503,LSFO,TPT,PS7,581.601
202503,LSFO,WAT,AG1,350.182
202503,LSFO,WAT,AG2,560.25
202503,LSFO,WAT,AG3,560.25
202503,MGO,MET,MD2,688.8
202503,MGO,MET,MD3,688.8
202503,MGO,MET,MD4,567.85
202503,MGO,MET,MD5,567.85
202503,MGO,MET,MS2,567.85
202503,MGO,NET,FE2,678.51
202503,MGO,NET,FE3,678.51
202503,MGO,NET,FP1,678.51
202503,MGO,NET,FP2,1064.096
202503,MGO,TAT,AL2,674.1
202503,MGO,TAT,AL3,674.1
202503,MGO,TAT,AL4,674.1
202503,MGO,TAT,AL5,695.38
202503,MGO,TAT,AL6,783.211
202503,MGO,TAT,AT1,690
202503,MGO,TAT,AT2,690
202503,MGO,TAT,AT3,690
202503,MGO,TAT,AT4,690
202503,MGO,TPT,EC1,717.063
202503,MGO,TPT,EC2,717.063
202503,MGO,TPT,EC3,617.455
202503,MGO,TPT,EC4,779.67
202503,MGO,TPT,EC5,717.123
202503,MGO,TPT,EC6,717.063
202503,MGO,TPT,FP1,678.51
202503,MGO,TPT,FP2,1064.096
202503,MGO,TPT,MS2,567.85
202503,MGO,TPT,PN2,688.8
202503,MGO,TPT,PN3,717.063
202503,MGO,TPT,PN4,717.063
202503,MGO,TPT,PS3,688.8
202503,MGO,TPT,PS4,780.5
202503,MGO,TPT,PS5,679.535
202503,MGO,TPT,PS6,707
202503,MGO,TPT,PS7,688.8
202503,MGO,WAT,AG1,310.591
202503,MGO,WAT,AG2,688.8
202503,MGO,WAT,AG3,688.8
202504,LSFO,MET,MD1,560.865
202503,MGO,MET,MD1,688.8
202503,MGO,NET,FE4,686.989
202503,MGO,TPT,PN1,707
202504,LSFO,MET,MD2,567.06
202504,LSFO,MET,MD3,577.305
202504,LSFO,MET,MD4,567.85
202504,LSFO,MET,MD5,567.85
202504,LSFO,MET,MS2,567.85
202504,LSFO,NET,FE2,543.905
202504,LSFO,NET,FE3,543.905
202504,LSFO,NET,FE4,553.055
202504,LSFO,NET,FP1,546.24
202504,LSFO,NET,FP2,738.391
202504,LSFO,TAT,AL2,536.9
202504,LSFO,TAT,AL3,536.9
202504,LSFO,TAT,AL4,536.9
202504,LSFO,TAT,AL5,565.256
202504,LSFO,TAT,AL6,577.002
202504,LSFO,TAT,AT1,542
202504,LSFO,TAT,AT2,542
202504,LSFO,TAT,AT3,542
202504,LSFO,TAT,AT4,542
202504,LSFO,TPT,EC1,584.841
202504,LSFO,TPT,EC2,596.471
202504,LSFO,TPT,EC3,540.956
202504,LSFO,TPT,EC4,600.841
202504,LSFO,TPT,EC5,565.652
202504,LSFO,TPT,EC6,574.15
202504,LSFO,TPT,FP1,546.24
